Totalt kapital på Avanza;Totalt kapital i Auto;Kapital i Avanza Auto 1;Kapital i Avanza Auto 2;Kapital i Avanza Auto 3;Kapital i Avanza Auto 4;Kapital i Avanza Auto 5;Kapital i Avanza Auto 6;Kapital i aktier;Kapital i fonder (inklusive Auto);Kund sedan år;Kön;Åldersintervall;Inloggade dagar senaste månaden
19000;0;0;0;0;0;0;0;19000;0;2021;Man;31-40;17
2000;0;0;0;0;0;0;0;0;2000;2018;Kvinna;41-50;0
3000;0;0;0;0;0;0;0;0;3000;2020;Kvinna;18-30;0
230000;0;0;0;0;0;0;0;0;229000;2015;Man;71-80;0
91000;0;0;0;0;0;0;0;0;90000;2016;Kvinna;51-60;1
7000;1000;0;0;0;0;0;1000;0;7000;2017;Man;31-40;7
15000;0;0;0;0;0;0;0;4000;11000;2020;Man;31-40;25
1395000;0;0;0;0;0;0;0;689000;627000;2013;Man;31-40;28
93000;0;0;0;0;0;0;0;0;0;2021;Kvinna;51-60;0
1000;0;0;0;0;0;0;0;0;0;2017;Man;18-30;1
63000;0;0;0;0;0;0;0;0;63000;2018;Man;41-50;2
1000;0;0;0;0;0;0;0;1000;0;2021;Man;18-30;5
13000;0;0;0;0;0;0;0;13000;0;2018;Kvinna;51-60;0
71000;15000;0;0;15000;0;0;0;1000;34000;2002;Man;61-70;2
172000;1000;0;0;0;0;0;1000;165000;7000;2021;Man;61-70;14
10000;0;0;0;0;0;0;0;0;10000;2017;Kvinna;18-30;0
236000;0;0;0;0;0;0;0;0;398000;2019;Man;61-70;1
283000;74000;11000;11000;0;1000;6000;45000;0;283000;2021;Man;31-40;29
24000;18000;0;0;0;0;18000;0;0;18000;2019;Kvinna;51-60;1
137000;0;0;0;0;0;0;0;137000;0;2011;Man;61-70;3
869000;0;0;0;0;0;0;0;964000;0;2018;Företag;-;31
65000;0;0;0;0;0;0;0;0;0;2021;Kvinna;31-40;0
69000;0;0;0;0;0;0;0;38000;11000;2013;Man;18-30;10
1229000;0;0;0;0;0;0;0;563000;213000;2015;Man;51-60;14
0;0;0;0;0;0;0;0;0;0;2021;Man;18-30;2
158000;0;0;0;0;0;0;0;135000;22000;2019;Man;18-30;10
81000;14000;0;0;0;0;14000;0;23000;57000;2015;Man;51-60;21
356000;0;0;0;0;0;0;0;21000;335000;2011;Man;31-40;5
66000;24000;0;0;24000;0;0;0;0;47000;2021;Man;51-60;3
126000;0;0;0;0;0;0;0;46000;80000;2021;Kvinna;31-40;5
1000;0;0;0;0;0;0;0;0;0;2021;Man;18-30;0
0;0;0;0;0;0;0;0;0;0;2008;Man;61-70;0
5000;0;0;0;0;0;0;0;1000;1000;2020;Man;18-30;2
120000;0;0;0;0;0;0;0;0;120000;2017;Man;31-40;0
15000;0;0;0;0;0;0;0;15000;0;2020;Kvinna;18-30;3
